activity_id,flavor_id,date_key,date,entity_key,category_key,location_key,metric1,metric2,status,notes
1,baseball,20220406,2022-04-06,betts,lad,dodger,1,0,Played,
2,baseball,20220407,2022-04-07,judge,nyy,dodger,5,1,Played,
3,baseball,20220409,2022-04-09,acuna,atl,minute,0,2,Played,
4,baseball,20220410,2022-04-10,soto,nyy,minute,1,0,Played,
5,baseball,20220412,2022-04-12,soto,nyy,minute,4,0,Played,
6,baseball,20220413,2022-04-13,ohtani,lad,truist,0,2,Postponed,
7,baseball,20220415,2022-04-15,freeman,lad,truist,0,2,Postponed,
8,baseball,20220416,2022-04-16,soto,nyy,yankee,1,0,Played,
9,baseball,20220418,2022-04-18,alvarez,hou,truist,0,0,Postponed,
10,baseball,20220419,2022-04-19,betts,lad,dodger,2,2,Played,
11,baseball,20220421,2022-04-21,betts,lad,minute,2,0,Played,
12,baseball,20220422,2022-04-22,soto,nyy,dodger,4,2,Played,
13,baseball,20220424,2022-04-24,freeman,lad,dodger,0,1,Played,
14,baseball,20220425,2022-04-25,acuna,atl,yankee,1,2,Played,
15,baseball,20220427,2022-04-27,alvarez,hou,truist,2,0,Played,
16,baseball,20220428,2022-04-28,judge,nyy,truist,2,1,Played,
17,baseball,20220430,2022-04-30,ohtani,lad,dodger,0,2,Postponed,
18,baseball,20220501,2022-05-01,betts,lad,yankee,2,2,Played,
19,baseball,20220503,2022-05-03,betts,lad,yankee,1,0,Played,
20,baseball,20220504,2022-05-04,acuna,atl,yankee,1,2,Played,
21,baseball,20220506,2022-05-06,judge,nyy,truist,2,2,Played,
22,baseball,20220507,2022-05-07,betts,lad,minute,3,0,Played,
23,baseball,20220509,2022-05-09,betts,lad,truist,5,2,Played,
24,baseball,20220510,2022-05-10,alvarez,hou,yankee,4,,Played,
25,baseball,20220512,2022-05-12,freeman,lad,yankee,0,0,Postponed,
26,baseball,20220513,2022-05-13,acuna,atl,yankee,4,0,Played,
27,baseball,20220515,2022-05-15,alvarez,hou,truist,5,2,Played,
28,baseball,20220516,2022-05-16,alvarez,hou,truist,5,2,Played,
29,baseball,20220518,2022-05-18,ohtani,lad,truist,1,0,Played,
30,baseball,20220519,2022-05-19,soto,nyy,yankee,3,0,Played,
31,baseball,20220521,2022-05-21,freeman,lad,truist,0,0,Played,
32,baseball,20220522,2022-05-22,betts,lad,truist,5,1,Played,
33,baseball,20220524,2022-05-24,freeman,lad,truist,5,1,Played,
34,baseball,20220525,2022-05-25,acuna,atl,truist,1,0,Played,
35,baseball,20220527,2022-05-27,ohtani,lad,yankee,4,2,Played,
36,baseball,20220528,2022-05-28,freeman,lad,truist,2,1,Played,
37,baseball,20220530,2022-05-30,alvarez,hou,truist,4,2,Played,
38,baseball,20220531,2022-05-31,soto,nyy,dodger,3,0,Played,
39,baseball,20220602,2022-06-02,judge,nyy,dodger,0,1,Postponed,
40,baseball,20220603,2022-06-03,soto,nyy,truist,0,1,Played,
41,baseball,20220605,2022-06-05,soto,nyy,dodger,4,2,Played,
42,baseball,20220606,2022-06-06,ohtani,lad,dodger,0,2,Postponed,
43,baseball,20220608,2022-06-08,soto,nyy,dodger,0,1,Postponed,
44,baseball,20220609,2022-06-09,acuna,atl,minute,0,1,Postponed,
45,baseball,20220611,2022-06-11,alvarez,hou,dodger,3,0,Played,
46,baseball,20220612,2022-06-12,freeman,lad,dodger,0,0,Postponed,
47,baseball,20220614,2022-06-14,betts,lad,dodger,0,1,Postponed,
48,baseball,20220615,2022-06-15,judge,nyy,dodger,5,1,Played,
49,baseball,20220617,2022-06-17,acuna,atl,yankee,0,0,Postponed,
50,baseball,20220618,2022-06-18,soto,nyy,minute,5,0,Played,
51,baseball,20220620,2022-06-20,freeman,lad,minute,0,0,Postponed,
52,baseball,20220621,2022-06-21,alvarez,hou,yankee,0,0,Played,
53,baseball,20220623,2022-06-23,alvarez,hou,yankee,5,0,Played,
54,baseball,20220624,2022-06-24,alvarez,hou,dodger,4,1,Played,
55,baseball,20220626,2022-06-26,soto,nyy,minute,3,0,Played,
56,baseball,20220627,2022-06-27,ohtani,lad,truist,5,1,Played,
57,baseball,20220629,2022-06-29,soto,nyy,truist,5,1,Played,
58,baseball,20220630,2022-06-30,acuna,atl,minute,1,1,Played,
59,baseball,20220702,2022-07-02,ohtani,lad,dodger,0,1,Postponed,
60,baseball,20220703,2022-07-03,alvarez,hou,yankee,0,0,Postponed,
61,baseball,20220705,2022-07-05,freeman,lad,truist,1,,Played,
62,baseball,20220707,2022-07-07,ohtani,lad,minute,2,2,Played,
63,baseball,20220708,2022-07-08,freeman,lad,truist,1,0,Played,
64,baseball,20220710,2022-07-10,judge,nyy,dodger,1,1,Played,
65,baseball,20220711,2022-07-11,alvarez,hou,minute,4,1,Played,
66,baseball,20220713,2022-07-13,soto,nyy,truist,3,2,Played,
67,baseball,20220714,2022-07-14,freeman,lad,dodger,0,2,Postponed,
68,baseball,20220716,2022-07-16,judge,nyy,truist,4,1,Played,
69,baseball,20220717,2022-07-17,soto,nyy,minute,0,1,Postponed,
70,baseball,20220719,2022-07-19,betts,lad,dodger,4,2,Played,
71,baseball,20220720,2022-07-20,judge,nyy,truist,0,0,Postponed,
72,baseball,20220722,2022-07-22,judge,nyy,truist,2,2,Played,
73,baseball,20220723,2022-07-23,betts,lad,minute,5,0,Played,
74,baseball,20220725,2022-07-25,freeman,lad,minute,0,1,Postponed,
75,baseball,20220726,2022-07-26,freeman,lad,dodger,5,1,Played,
76,baseball,20220728,2022-07-28,soto,nyy,yankee,0,1,Played,
77,baseball,20220729,2022-07-29,betts,lad,minute,5,1,Played,
78,baseball,20220731,2022-07-31,ohtani,lad,dodger,0,2,Postponed,
79,baseball,20220801,2022-08-01,alvarez,hou,truist,1,,Played,
80,baseball,20220803,2022-08-03,freeman,lad,minute,1,,Played,
81,baseball,20220804,2022-08-04,judge,nyy,truist,0,0,Played,
82,baseball,20220806,2022-08-06,soto,nyy,truist,4,1,Played,
83,baseball,20220807,2022-08-07,ohtani,lad,truist,4,0,Played,
84,baseball,20220809,2022-08-09,acuna,atl,truist,5,0,Played,
85,baseball,20220810,2022-08-10,judge,nyy,minute,3,1,Played,
86,baseball,20220812,2022-08-12,alvarez,hou,minute,0,1,Postponed,
87,baseball,20220813,2022-08-13,judge,nyy,truist,2,2,Played,
88,baseball,20220815,2022-08-15,judge,nyy,yankee,2,2,Played,
89,baseball,20220816,2022-08-16,freeman,lad,truist,3,1,Played,
90,baseball,20220818,2022-08-18,betts,lad,dodger,5,2,Played,
91,baseball,20220819,2022-08-19,soto,nyy,truist,3,2,Played,
92,baseball,20220821,2022-08-21,judge,nyy,dodger,5,,Played,
93,baseball,20220822,2022-08-22,acuna,atl,dodger,0,2,Postponed,
94,baseball,20220824,2022-08-24,soto,nyy,dodger,1,0,Played,
95,baseball,20220825,2022-08-25,ohtani,lad,truist,2,2,Played,
96,baseball,20220827,2022-08-27,ohtani,lad,yankee,0,2,Postponed,
97,baseball,20220828,2022-08-28,freeman,lad,minute,3,2,Played,
98,baseball,20220830,2022-08-30,freeman,lad,truist,2,2,Played,
99,baseball,20220831,2022-08-31,ohtani,lad,minute,0,1,Postponed,
100,baseball,20220902,2022-09-02,alvarez,hou,yankee,0,1,Postponed,
101,baseball,20220903,2022-09-03,judge,nyy,dodger,4,2,Played,
102,baseball,20220905,2022-09-05,alvarez,hou,truist,2,2,Played,
103,baseball,20220906,2022-09-06,betts,lad,dodger,0,1,Played,
104,baseball,20220908,2022-09-08,judge,nyy,truist,0,0,Played,
105,baseball,20220909,2022-09-09,judge,nyy,truist,4,1,Played,
106,baseball,20220911,2022-09-11,judge,nyy,yankee,0,2,Postponed,
107,baseball,20220912,2022-09-12,judge,nyy,yankee,2,2,Played,
108,baseball,20220914,2022-09-14,acuna,atl,truist,1,0,Played,
109,baseball,20220915,2022-09-15,freeman,lad,dodger,0,0,Played,
110,baseball,20220917,2022-09-17,betts,lad,minute,1,2,Played,
111,baseball,20220918,2022-09-18,acuna,atl,minute,5,2,Played,
112,baseball,20220920,2022-09-20,acuna,atl,yankee,1,1,Played,
113,baseball,20220921,2022-09-21,judge,nyy,dodger,4,1,Played,
114,baseball,20220923,2022-09-23,soto,nyy,yankee,3,0,Played,
115,baseball,20220924,2022-09-24,judge,nyy,minute,0,2,Postponed,
116,baseball,20220926,2022-09-26,betts,lad,truist,1,2,Played,
117,baseball,20220927,2022-09-27,acuna,atl,truist,1,0,Played,
118,baseball,20220929,2022-09-29,alvarez,hou,yankee,2,1,Played,
119,baseball,20220930,2022-09-30,ohtani,lad,dodger,2,1,Played,
120,baseball,20221002,2022-10-02,soto,nyy,truist,4,,Played,
121,baseball,20230329,2023-03-29,alvarez,hou,truist,5,1,Played,
122,baseball,20230330,2023-03-30,judge,nyy,yankee,2,0,Played,
123,baseball,20230401,2023-04-01,betts,lad,minute,4,,Played,
124,baseball,20230402,2023-04-02,alvarez,hou,yankee,0,0,Played,
125,baseball,20230404,2023-04-04,alvarez,hou,truist,0,2,Postponed,
126,baseball,20230405,2023-04-05,ohtani,lad,truist,2,0,Played,
127,baseball,20230407,2023-04-07,soto,nyy,dodger,4,2,Played,
128,baseball,20230408,2023-04-08,alvarez,hou,truist,4,2,Played,
129,baseball,20230410,2023-04-10,freeman,lad,dodger,5,1,Played,
130,baseball,20230411,2023-04-11,freeman,lad,dodger,5,1,Played,
131,baseball,20230413,2023-04-13,alvarez,hou,yankee,1,0,Played,
132,baseball,20230414,2023-04-14,acuna,atl,dodger,3,0,Played,
133,baseball,20230416,2023-04-16,acuna,atl,dodger,5,0,Played,
134,baseball,20230418,2023-04-18,alvarez,hou,dodger,0,2,Postponed,
135,baseball,20230419,2023-04-19,freeman,lad,dodger,1,0,Played,
136,baseball,20230421,2023-04-21,soto,nyy,dodger,1,1,Played,
137,baseball,20230422,2023-04-22,ohtani,lad,minute,5,0,Played,
138,baseball,20230424,2023-04-24,freeman,lad,dodger,5,2,Played,
139,baseball,20230425,2023-04-25,judge,nyy,truist,5,0,Played,
140,baseball,20230427,2023-04-27,ohtani,lad,truist,5,0,Played,
141,baseball,20230428,2023-04-28,alvarez,hou,yankee,0,0,Postponed,
142,baseball,20230430,2023-04-30,freeman,lad,dodger,0,0,Postponed,
143,baseball,20230501,2023-05-01,judge,nyy,truist,2,0,Played,
144,baseball,20230503,2023-05-03,soto,nyy,minute,5,1,Played,
145,baseball,20230505,2023-05-05,freeman,lad,yankee,3,1,Played,
146,baseball,20230506,2023-05-06,betts,lad,yankee,0,1,Postponed,
147,baseball,20230508,2023-05-08,betts,lad,dodger,4,,Played,
148,baseball,20230509,2023-05-09,freeman,lad,minute,2,1,Played,
149,baseball,20230511,2023-05-11,freeman,lad,minute,0,1,Played,
150,baseball,20230512,2023-05-12,betts,lad,truist,5,2,Played,
151,baseball,20230514,2023-05-14,ohtani,lad,truist,2,1,Played,
152,baseball,20230515,2023-05-15,judge,nyy,minute,0,1,Postponed,
153,baseball,20230517,2023-05-17,betts,lad,dodger,3,1,Played,
154,baseball,20230518,2023-05-18,acuna,atl,yankee,4,0,Played,
155,baseball,20230520,2023-05-20,alvarez,hou,truist,5,2,Played,
156,baseball,20230521,2023-05-21,freeman,lad,yankee,0,1,Played,
157,baseball,20230523,2023-05-23,freeman,lad,yankee,3,1,Played,
158,baseball,20230525,2023-05-25,soto,nyy,truist,5,,Played,
159,baseball,20230526,2023-05-26,ohtani,lad,truist,3,1,Played,
160,baseball,20230528,2023-05-28,acuna,atl,yankee,0,0,Played,
161,baseball,20230529,2023-05-29,freeman,lad,minute,4,0,Played,
162,baseball,20230531,2023-05-31,soto,nyy,truist,5,,Played,
163,baseball,20230601,2023-06-01,acuna,atl,yankee,0,0,Played,
164,baseball,20230603,2023-06-03,alvarez,hou,dodger,4,0,Played,
165,baseball,20230604,2023-06-04,ohtani,lad,yankee,2,1,Played,
166,baseball,20230606,2023-06-06,betts,lad,minute,5,1,Played,
167,baseball,20230607,2023-06-07,judge,nyy,dodger,0,2,Postponed,
168,baseball,20230609,2023-06-09,soto,nyy,yankee,1,0,Played,
169,baseball,20230611,2023-06-11,judge,nyy,yankee,3,1,Played,
170,baseball,20230612,2023-06-12,soto,nyy,minute,3,1,Played,
171,baseball,20230614,2023-06-14,soto,nyy,dodger,2,2,Played,
172,baseball,20230615,2023-06-15,betts,lad,minute,3,0,Played,
173,baseball,20230617,2023-06-17,judge,nyy,minute,1,2,Played,
174,baseball,20230618,2023-06-18,alvarez,hou,dodger,5,2,Played,
175,baseball,20230620,2023-06-20,soto,nyy,yankee,2,0,Played,
176,baseball,20230621,2023-06-21,ohtani,lad,yankee,0,1,Played,
177,baseball,20230623,2023-06-23,freeman,lad,yankee,2,0,Played,
178,baseball,20230624,2023-06-24,judge,nyy,minute,2,0,Played,
179,baseball,20230626,2023-06-26,soto,nyy,truist,0,1,Played,
180,baseball,20230627,2023-06-27,soto,nyy,truist,3,2,Played,
181,baseball,20230629,2023-06-29,alvarez,hou,truist,1,0,Played,
182,baseball,20230701,2023-07-01,ohtani,lad,minute,5,0,Played,
183,baseball,20230702,2023-07-02,acuna,atl,minute,0,2,Played,
184,baseball,20230704,2023-07-04,acuna,atl,minute,4,,Played,
185,baseball,20230705,2023-07-05,soto,nyy,truist,3,0,Played,
186,baseball,20230707,2023-07-07,acuna,atl,dodger,1,1,Played,
187,baseball,20230708,2023-07-08,judge,nyy,yankee,2,2,Played,
188,baseball,20230710,2023-07-10,soto,nyy,yankee,0,2,Postponed,
189,baseball,20230711,2023-07-11,freeman,lad,minute,0,1,Played,
190,baseball,20230713,2023-07-13,betts,lad,yankee,4,1,Played,
191,baseball,20230714,2023-07-14,acuna,atl,yankee,5,1,Played,
192,baseball,20230716,2023-07-16,alvarez,hou,truist,2,1,Played,
193,baseball,20230718,2023-07-18,soto,nyy,dodger,0,2,Played,
194,baseball,20230719,2023-07-19,soto,nyy,yankee,0,1,Postponed,
195,baseball,20230721,2023-07-21,alvarez,hou,yankee,5,1,Played,
196,baseball,20230722,2023-07-22,ohtani,lad,minute,4,0,Played,
197,baseball,20230724,2023-07-24,alvarez,hou,yankee,4,2,Played,
198,baseball,20230725,2023-07-25,freeman,lad,dodger,1,1,Played,
199,baseball,20230727,2023-07-27,judge,nyy,dodger,1,2,Played,
200,baseball,20230728,2023-07-28,ohtani,lad,dodger,3,2,Played,
201,baseball,20230730,2023-07-30,acuna,atl,yankee,2,1,Played,
202,baseball,20230731,2023-07-31,ohtani,lad,dodger,0,2,Postponed,
203,baseball,20230802,2023-08-02,alvarez,hou,truist,0,1,Postponed,
204,baseball,20230803,2023-08-03,judge,nyy,truist,4,1,Played,
205,baseball,20230805,2023-08-05,judge,nyy,yankee,5,0,Played,
206,baseball,20230807,2023-08-07,alvarez,hou,truist,1,1,Played,
207,baseball,20230808,2023-08-08,betts,lad,dodger,0,1,Postponed,
208,baseball,20230810,2023-08-10,freeman,lad,yankee,0,2,Played,
209,baseball,20230811,2023-08-11,acuna,atl,dodger,1,0,Played,
210,baseball,20230813,2023-08-13,judge,nyy,truist,1,2,Played,
211,baseball,20230814,2023-08-14,judge,nyy,yankee,4,2,Played,
212,baseball,20230816,2023-08-16,soto,nyy,yankee,4,1,Played,
213,baseball,20230817,2023-08-17,acuna,atl,dodger,0,2,Postponed,
214,baseball,20230819,2023-08-19,soto,nyy,yankee,2,0,Played,
215,baseball,20230820,2023-08-20,ohtani,lad,yankee,3,0,Played,
216,baseball,20230822,2023-08-22,alvarez,hou,dodger,5,2,Played,
217,baseball,20230824,2023-08-24,freeman,lad,truist,0,1,Played,
218,baseball,20230825,2023-08-25,acuna,atl,truist,0,0,Played,
219,baseball,20230827,2023-08-27,alvarez,hou,dodger,0,1,Postponed,
220,baseball,20230828,2023-08-28,freeman,lad,dodger,3,2,Played,
221,baseball,20230830,2023-08-30,soto,nyy,truist,3,2,Played,
